account_id,role,account_number,bank_name,entity_name,is_fraudulent
P_0001,PARTNER,811C48E10,Saudi Arabia Bank #4,Corporation #36539,False
P_0002,PARTNER,80A2DF610,Australia Bank #47,Corporation #33736,True
P_0003,PARTNER,80A19A4A0,Australia Bank #3,Corporation #43613,False
P_0004,PARTNER,8120E8810,Greece Bank #180,Sole Proprietorship #28118,False
P_0005,PARTNER,8000DB3C0,Israel Bank #6,Sole Proprietorship #40502,True
P_0006,PARTNER,808D74500,UK Bank #19,Corporation #32965,False
P_0007,PARTNER,807DD0FB0,Golden Credit Union,Corporation #884,True
P_0008,PARTNER,80F1164A0,Switzerland Bank #170,Corporation #34854,False
P_0009,PARTNER,8028E8460,Brownstone Trust Bank,Corporation #4477,True
P_0010,PARTNER,8051E3B20,First Bank of Indianapolis,Partnership #9358,True
P_0011,PARTNER,8019A2650,Sunrise Credit Union,Partnership #45288,True
P_0012,PARTNER,8026C8540,Spain Bank #23,Corporation #24444,False
P_0013,PARTNER,801C0D550,Slovakia Bank #106,Sole Proprietorship #22700,False
P_0014,PARTNER,80AB6EB90,Bank of Miami,Partnership #15570,False
P_0015,PARTNER,80F576BB0,The Pine Credit Union,Corporation #16396,True
P_0016,PARTNER,809FD0970,Plateau Community Bank,Partnership #54289,False
P_0017,PARTNER,80400DC40,Bank of Detroit,Partnership #50633,False
P_0018,PARTNER,81484C700,Italy Bank #49,Sole Proprietorship #26313,False
P_0019,PARTNER,8013F0350,First Bank of Springfield,Sole Proprietorship #3159,True
P_0020,PARTNER,8024C8E20,Savings Bank of Huron,Sole Proprietorship #3252,False
P_0021,PARTNER,802508900,Acme Community Bank,Partnership #18582,False
P_0022,PARTNER,810FDB280,Italy Bank #98,Corporation #25182,False
P_0023,PARTNER,8069A8380,France Bank #984,Sole Proprietorship #23164,False
P_0024,PARTNER,8055077A0,India Bank #16,Sole Proprietorship #32152,False
P_0025,PARTNER,805CDE270,National Bank of Arkadelphia,Partnership #5707,False
P_0026,PARTNER,812B864D0,First Bank of Houston,Sole Proprietorship #506,False
P_0027,PARTNER,100428858,Oasis Thrift,Partnership #19472,False
P_0028,PARTNER,80ADA5540,Australia Bank #21,Corporation #43613,False
P_0029,PARTNER,805D4C850,India Bank #27,Corporation #11703,True
P_0030,PARTNER,805CC3F40,National Bank of Danbury,Sole Proprietorship #9729,False
P_0031,PARTNER,8125B8C40,Greece Bank #789,Sole Proprietorship #39092,False
P_0032,PARTNER,808981010,Savings Bank of Phoenix,Partnership #846,False
P_0033,PARTNER,80154AAF0,Spain Bank #9,Partnership #23675,True
P_0034,PARTNER,803DE4A90,Japan Bank #0,Partnership #31639,True
P_0035,PARTNER,8057DA9D0,Savings Bank of Newport,Corporation #40774,False
P_0036,PARTNER,80E27AA10,Spain Bank #110,Sole Proprietorship #25413,True
P_0037,PARTNER,804157D10,Japan Bank #35,Corporation #29861,False
P_0038,PARTNER,8003946A0,Savings Bank of Seattle,Partnership #5633,False
P_0039,PARTNER,80EB1E930,Switzerland Bank #51,Corporation #2477,True
P_0040,PARTNER,80098A3D0,France Bank #51,Partnership #52485,True
P_0041,PARTNER,801A21E40,National Bank of Huron,Partnership #18526,True
P_0042,PARTNER,80D951EC0,National Bank of New Orleans,Corporation #53177,False
P_0043,PARTNER,803173180,Sappo Federal Bank,Sole Proprietorship #9904,True
P_0044,PARTNER,8106B1750,China Bank #38,Partnership #31468,True
P_0045,PARTNER,80340DCF0,Acme Cooperative Bank,Sole Proprietorship #6651,True
P_0046,PARTNER,806145A70,Russia Bank #25,Corporation #31485,False
P_0047,PARTNER,8114AF440,China Bank #16,Sole Proprietorship #29571,False
P_0048,PARTNER,812B86430,First Bank of Phoenix,Corporation #10534,False
P_0049,PARTNER,806C45860,Netherlands Bank #971,Corporation #22676,False
P_0050,PARTNER,80755B360,National Bank of Laramie,Sole Proprietorship #11325,False
P_0051,PARTNER,805B266D0,Savings Bank of Detroit,Partnership #8349,False
P_0052,PARTNER,804AB4820,India Bank #0,Partnership #32618,False
P_0053,PARTNER,801B9E2E0,Slovakia Bank #106,Sole Proprietorship #3072,False
P_0054,PARTNER,8011518B0,Bank of the South,Sole Proprietorship #2693,False
P_0055,PARTNER,8007C2A40,China Bank #13,Partnership #30760,False
P_0056,PARTNER,1004286A8,Oasis Thrift,Partnership #2370,False
P_0057,PARTNER,8017D32A0,First Bank of Dallas,Sole Proprietorship #3681,True
P_0058,PARTNER,813515540,National Bank of Fairfield,Sole Proprietorship #11158,False
P_0059,PARTNER,81256B3F0,Spain Bank #642,Corporation #24413,False
P_0060,PARTNER,80AF24890,China Bank #40,Partnership #31107,False
P_0061,PARTNER,808F6FCB0,China Bank #65,Corporation #52073,False
P_0062,PARTNER,8079DDC30,Savings Bank of Butte,Corporation #16523,True
P_0063,PARTNER,8029FC480,Arbor Savings Bank,Corporation #4551,True
P_0064,PARTNER,80437D050,Golden Bancorp,Corporation #41579,True
P_0065,PARTNER,80541EB10,India Bank #2,Sole Proprietorship #31684,False
P_0066,PARTNER,80D7EC5F0,First Bank of Topeka,Corporation #14945,True
P_0067,PARTNER,803CA7270,Sunrise Credit Union,Partnership #42589,False
P_0068,PARTNER,807830890,Italy Bank #201,Corporation #20628,False
P_0069,PARTNER,80C464630,Japan Bank #0,Corporation #29578,False
P_0070,PARTNER,8107D3970,Israel Bank #53,Corporation #35871,False
P_0071,PARTNER,80A61C8A0,Australia Bank #38,Corporation #34076,False
P_0072,PARTNER,8053168D0,Belgium Bank #87,Sole Proprietorship #23105,True
P_0073,PARTNER,8135B49D0,Spruce Federal Bank,Sole Proprietorship #2015,False
P_0074,PARTNER,8041A3440,Savings Bank of Laramie,Sole Proprietorship #5335,True
P_0075,PARTNER,8000EE420,Germany Bank #65,Corporation #20093,True
P_0076,PARTNER,80640B300,First Bank of Dallas,Sole Proprietorship #781,False
P_0077,PARTNER,80145D800,First Bank of Dallas,Partnership #50247,True
P_0078,PARTNER,813A40B00,Capital Community Bank,Corporation #9441,False
P_0079,PARTNER,80DACB580,Hearthstone Savings Bank,Partnership #3761,False
P_0080,PARTNER,80CF68C90,Brazil Bank #10,Partnership #36818,False
P_0081,PARTNER,80CA7BEE0,Acme Trust Bank,Partnership #36811,False
P_0082,PARTNER,80098DC70,Germany Bank #126,Partnership #23412,True
P_0083,PARTNER,81121FAB0,National Bank of Laramie,Sole Proprietorship #19667,True
P_0084,PARTNER,81235E8B0,Israel Bank #6,Sole Proprietorship #45578,True
P_0085,PARTNER,8041A4DD0,The Pine Thrift,Partnership #2530,False
P_0086,PARTNER,80A99BDA0,Australia Bank #49,Corporation #51127,True
P_0087,PARTNER,801FA96C0,Germany Bank #120,Corporation #38363,False
P_0088,PARTNER,802E2AD70,Savings Bank of Huron,Sole Proprietorship #17934,True
P_0089,PARTNER,80B13FD20,China Bank #60,Partnership #31524,False
P_0090,PARTNER,803B8BFC0,Japan Bank #44,Partnership #48855,True
P_0091,PARTNER,8045D4D50,National Bank of Danbury,Partnership #38574,False
P_0092,PARTNER,80AEBECB0,National Bank of Fort Wayne,Corporation #749,True
P_0093,PARTNER,80C0036A0,First Bank of Arkadelphia,Sole Proprietorship #15471,False
P_0094,PARTNER,803F7D7A0,Japan Bank #8,Sole Proprietorship #30818,False
P_0095,PARTNER,8041EBA10,Plandor Trust Bank,Partnership #3118,False
P_0096,PARTNER,801C3E790,First Bank of Indianapolis,Partnership #4502,False
P_0097,PARTNER,80FB16BD0,Switzerland Bank #11,Corporation #34854,False
P_0098,PARTNER,801AF5660,France Bank #85,Sole Proprietorship #41963,False
P_0099,PARTNER,1004286F0,Oasis Thrift,Partnership #30358,False
P_0100,PARTNER,811A67510,Switzerland Bank #8,Partnership #38226,True
P_0101,PARTNER,808B6FC70,UK Bank #61,Partnership #35651,False
P_0102,PARTNER,80B847A90,Belgium Bank #677,Corporation #21157,False
P_0103,PARTNER,804925400,Netherlands Bank #507,Corporation #20801,False
P_0104,PARTNER,80E6BFD50,Bank of Miami,Partnership #14565,True
P_0105,PARTNER,80172E860,Savings Bank of Milford,Sole Proprietorship #13506,False
P_0106,PARTNER,800924840,Finland Bank #0,Partnership #2370,True
P_0107,PARTNER,80DA95030,Austria Bank #233,Partnership #26127,False
P_0108,PARTNER,801C0A610,France Bank #52,Partnership #41063,False
P_0109,PARTNER,807BCBDB0,Germany Bank #32,Sole Proprietorship #22560,False
P_0110,PARTNER,8010D4440,National Bank of the East,Sole Proprietorship #3911,True
P_0111,PARTNER,8043B84A0,National Bank of Danbury,Corporation #6149,False
P_0112,PARTNER,80E6D9980,China Bank #340,Partnership #43670,False
P_0113,PARTNER,80B51F710,Netherlands Bank #117,Sole Proprietorship #53233,False
P_0114,PARTNER,80794B6F0,Savings Bank of Houston,Sole Proprietorship #11549,True
P_0115,PARTNER,808D5A430,Savings Bank of Lacrosse,Corporation #6876,False
P_0116,PARTNER,1004288A0,Oasis Thrift,Sole Proprietorship #24857,False
P_0117,PARTNER,80EB1AA20,Switzerland Bank #170,Partnership #37691,True
P_0118,PARTNER,8051A3FA0,The Pine Thrift,Corporation #15274,False
P_0119,PARTNER,80EEF5A50,Switzerland Bank #35,Sole Proprietorship #36904,False
P_0120,PARTNER,810C289B0,Spain Bank #341,Sole Proprietorship #48307,True
P_0121,PARTNER,8130E5130,First Bank of Detroit,Corporation #879,False
P_0122,PARTNER,8034CEF90,First Bank of Indianapolis,Sole Proprietorship #5784,False
P_0123,PARTNER,806AA6EE0,Russia Bank #28,Sole Proprietorship #32941,False
P_0124,PARTNER,801C05230,France Bank #8,Partnership #30125,False
P_0125,PARTNER,80BDF2170,Savings Bank of the Valley,Partnership #9809,False
P_0126,PARTNER,8001D5B50,Finland Bank #0,Corporation #37283,True
P_0127,PARTNER,8001ECD70,Golden Bancorp,Sole Proprietorship #198,True
P_0128,PARTNER,80B2BA8F0,Australia Bank #18,Corporation #33736,False
P_0129,PARTNER,8075AC7C0,Savings Bank of Bridgeport,Partnership #11986,True
P_0130,PARTNER,80032DB60,Golden Bancorp,Partnership #17593,False
P_0131,PARTNER,80B0C3F40,Australia Bank #17,Partnership #36466,True
P_0132,PARTNER,80F523260,Switzerland Bank #112,Corporation #34854,False
P_0133,PARTNER,80C2E7860,China Bank #33,Corporation #28899,True
P_0134,PARTNER,808B1C350,First Bank of Chicago,Sole Proprietorship #39714,True
P_0135,PARTNER,80465E020,Japan Bank #52,Corporation #29863,True
P_0136,PARTNER,8050E2560,India Bank #28,Partnership #33780,False
P_0137,PARTNER,801325390,Flagstone Federal Bank,Partnership #3164,False
P_0138,PARTNER,8012CD590,National Bank of Pittsburgh,Sole Proprietorship #628,True
P_0139,PARTNER,80A694E30,Spain Bank #1115,Corporation #42766,False
P_0140,PARTNER,1004289C0,Oasis Thrift,Sole Proprietorship #37508,False
