client_id,account_number,num_trades,total_volume,partner_id,bank_id,bank_name,entity_name,is_in_fraud_ring
C_000001,100428660,1,8092.0,P_0114,70,Oasis Thrift,Sole Proprietorship #41,False
C_000002,100428660,1,428.78,P_0134,70,Oasis Thrift,Sole Proprietorship #41,False
C_000003,1004286A8,3,3331.74,P_0072,70,Oasis Thrift,Partnership #2370,False
C_000004,8000485D0,1,6801.33,P_0148,7,India Bank #25,Sole Proprietorship #29275,True
C_000005,800056160,1,4383.81,P_0127,1,Arbor Savings Bank,Corporation #16,True
C_000006,800056370,2,16468.05,P_0041,1,Arbor Savings Bank,Corporation #17,False
C_000007,800060420,1,16367.46,P_0127,20,China Bank #6,Sole Proprietorship #28683,True
C_000008,800065110,1,16273.75,P_0126,11,Finland Bank #0,Partnership #23249,True
C_000009,800072EF0,1,6791.33,P_0159,4,China Bank #3,Sole Proprietorship #43891,True
C_000010,80007A550,1,13144.18,P_0072,24,Japan Bank #41,Sole Proprietorship #29281,True
C_000011,8000B8AB0,7,35281211.58,P_0152,28,Australia Bank #0,Partnership #3310,True
C_000012,8000C76D0,1,823785.72,P_0170,112,Switzerland Bank #11,Partnership #2633,True
C_000013,8000D9880,2,22661.44,P_0100,118,Switzerland Bank #8,Partnership #405,False
C_000014,8000DA7D0,1,65196.57,P_0178,119,Israel Bank #6,Sole Proprietorship #4286,True
C_000015,8000DB3C0,1,806.09,P_0005,119,Israel Bank #6,Sole Proprietorship #40502,True
C_000016,8000DB3C0,1,17684.91,P_0171,119,Israel Bank #6,Sole Proprietorship #40502,True
C_000017,8000DBF20,1,2794.65,P_0040,223,Saudi Arabia Bank #4,Corporation #36537,True
C_000018,8000DC420,1,555.69,P_0100,119,Israel Bank #6,Sole Proprietorship #3673,False
C_000019,8000E1590,1,3220.99,P_0005,121,Saudi Arabia Bank #6,Corporation #11758,True
C_000020,8000E1590,2,30343.84,P_0131,121,Saudi Arabia Bank #6,Corporation #11758,True
C_000021,8000E1590,1,28119.68,P_0100,121,Saudi Arabia Bank #6,Corporation #11758,True
C_000022,8000E1590,2,141137.15999999997,P_0171,121,Saudi Arabia Bank #6,Corporation #11758,True
C_000023,8000FE790,1,3016.03,P_0126,23,Germany Bank #18,Corporation #20126,True
C_000024,8001027C0,1,8340.74,P_0127,11,Finland Bank #0,Corporation #39343,True
C_000025,800117590,1,16050.64,P_0127,12,National Bank of the East,Corporation #39,True
C_000026,800118660,1,17840.31,P_0141,220,National Bank of Pittsburgh,Sole Proprietorship #3693,True
C_000027,800123E90,7,39926.44,P_0126,20,China Bank #6,Sole Proprietorship #22214,False
C_000028,800124BD0,1,13714.11,P_0126,23,Germany Bank #18,Partnership #23261,True
C_000029,80012AE10,1,11521.69,P_0082,11,Finland Bank #0,Corporation #46317,True
C_000030,800137450,1,5073.01,P_0127,12,National Bank of the East,Partnership #86,True
C_000031,800146310,1,2148312.26,P_0127,220,National Bank of Pittsburgh,Sole Proprietorship #4671,False
C_000032,8001576B0,1,13322.2,P_0075,220,National Bank of Pittsburgh,Corporation #420,True
C_000033,80015D1B0,1,7763.47,P_0114,10,National Bank of Laramie,Partnership #6579,True
C_000034,8001694F0,1,1129217.23,P_0135,23,Germany Bank #18,Corporation #40245,True
C_000035,80016E8F0,1,23213.43,P_0199,12,National Bank of the East,Corporation #38486,True
C_000036,8001882D0,2,2605.43,P_0127,10,National Bank of Laramie,Sole Proprietorship #134,False
C_000037,800188850,1,5505.18,P_0185,1,Arbor Savings Bank,Sole Proprietorship #8667,True
C_000038,8001AD4E0,1,477.12,P_0056,3228,France Bank #129,Sole Proprietorship #8499,False
C_000039,8001AE930,1,3837.07,P_0126,22,Germany Bank #65,Sole Proprietorship #21628,True
C_000040,8001B7DB0,1,5232.49,P_0141,20,China Bank #6,Partnership #23602,True
C_000041,8001B8420,1,1192.6,P_0126,12,National Bank of the East,Corporation #48733,True
C_000042,8001BA930,1,12675.54,P_0075,1,Arbor Savings Bank,Partnership #4212,True
C_000043,8001C80F0,1,986.64,P_0126,20,China Bank #6,Corporation #20131,True
C_000044,8001D5700,1,679.71,P_0126,12,National Bank of the East,Corporation #20134,True
C_000045,8001D7610,1,3757.42,P_0127,23,Germany Bank #18,Partnership #23243,True
